# command:
# git-check-rebase --meta rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.meta --rows-hide-level show_all --columns full rhel9:rh9-5.14.0-70.22.1.el9..rh9-5.14.0-70.22.1.vz9.17.12 rhel9.1:rh9-5.14.0-162.6.1.el9..rh9-5.14.0-162.6.1.vz9.18.1 > rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.log
#

<tag>  rhel9         rhel9.1       SUBJECT
match  292ed2c448c1  0cc754902d59  ve/sysctl/pidns: allow to change sysctl "ns_last_pid" from containers
match  f95cb46e59a5  2fcb42c36507  ve/sysctl: allow to write kernel/hostname and kernel/domainname entries in container
ok     1b78ace4a539  05bd212dafc6  introduce ve_net_hide_sysctl helper
match  d92ceb2e0ab1  c60b2a7e3041  ve/sysctl/net: allow "net.unix.max_dgram_qlen" sysctl in CT init userns
match  e4435b24e804  b06970e8c5d1  ve/sysctl/net: allow net.ipv4.vs.* in CT init userns
match  2eeab0c48527  ca9471106d7a  sysctl: Change sysctl::show_unhandled_signals default
ok     911187bc0419  6d36283ab118  ve/proc: restricted proc-entries scope
                                      (functions rename)
match  76909565a27a  a071ea75ec4c  ve/proc: Show vcpu in do_task_stat()
match  3a828da477c7  28a75ae9eaf4  ve: Virtualize /proc/swaps to watch from inside CT
match  05811086a975  11a25735fc5c  ve/proc: print VE id and virtual pid in process status
match  57c364abdae7  1709f15f1b61  ve: Replace 0 ppid with 1 (workaround for bad utils)
ok     2e34350d819c  e43748228b7a  ve/proc: virtualize /proc/meminfo in a Container
                                      (functions rename)
ok     bbf967ab86cb  ea18c5e9d2ba  cbt: introduce changed block tracking
                                      (submit_bio_checks() has been merged into submit_bio_noacct() in ms code, so the blk_cbt_bio_queue() has been also moved there)
match  72c2c03a96db  edba6e83896e  cbt: Add config
match  7f90f9d93c76  f75c9d82b6bd  livepatch: added minimal support for failure injection
match  af65b7d473bf  f83857a59b91  mm: add warning about high order allocations
match  7fb8aba895c6  e18078848545  net/mlx5: suppress high order allocation
match  4b83d7b41553  7e43ac8f5225  keys, user: Fix high order allocation in user_instantiate() #PSBM-107794
match  27e0c9984401  4bb99f8a2f9d  x86/kvm/vmx: Suppress warning on high-order allocation
match  3b8e9a5c7a16  89b41b1863c6  include/linux/sockptr: introduce vmemdup_sockptr helper
match  49ae31b92ea8  bfcf6526c7ed  net/setsockopt: switch high order allocations to kvmalloc() in do_ip_setsockopt()
match  b5be075b070c  deec89fa1cb6  sctp: suppress warnings on high order memory allocation on sctp chunk creation
match  a05584770f67  dc45810f6f34  vhost: suppress high-order-allocation warning for vhost_log
