# command:
# git-check-rebase --meta rebase_4.18.0-240.1.1.el8_4.18.0-305.3.1.el8.meta --format=full rhel8.4:rh8-4.18.0-305.3.1.el8..9fdfd6a7c491 rhel8.2:rh8-4.18.0-240.1.1.el8..origin/branch-rh8-4.18.0-240.1.1.vz8.5.x-ovz-merged
#

<tag>  rhel8.4       rhel8.2       SUBJECT
match  9d6cf6fc1b6c  2a70c66e8cef  memcg: charge kmem allocations accounted to UBC in PCS6 to memcg
ok     7ff422a6292c  56d3591a3b17  KMAPSET: set of key-value mappings with build-in
ok     e7c6958c380e  15a69b2dad28  ve/kernfs: implement ve-based permissions
match  7682bc10da84  6f90da1c7f3c  ve/kernfs: hide forbidden entries in container
match  7958da9a75da  e45c60f6d70a  ve/kernfs: add new interface to control per-VE nodes visibility
ok     94377204e747  4ee886a5ab74  ve/sysfs: add dentries visibility filter
ok     f1c852869b95  d68b5ab9fac9  ve/fs/nfs: NFS containerization
match  511139d1fc89  215cc4827ce1  ms/NFS/CIFS/SUNRPC: don't allow to freeze execution
match  5af4b336e2a4  347cc2df26cc  ve/mm: print OOM info to VE log
match  dd0ba08c391b  90340acd4565  ve/security: device_cgroup -- Allow manage devices in @pseudosuper state
match  626f47ef142d  c404393e2ae3  ve/proc: print VE id and virtual pid in process status
drop                 bd57b66ae05d  ve/tty: vt -- Implement per VE support for console and terminals
                                     (initially we ported the feature then - dropped, then resurrected)
drop                 cdd384988227  ve/tty: TIOSAK Secure Attention Key ioctl
                                     (added later: 49c683886d2f ve/tty: TIOSAK Secure Attention Key ioctl)
match  21190c922a3c  cf22e96ecedc  ve/kbd: add file kbd_bind in sysfs, which allow unbind keyboard from tty (v2)
match  80b9449ba7c0  1a3ec326f89f  ve/fs: allow devices-realted mounts in VE initial user namespace
ok     eefe9694c0c1  74ebb4657a20  ve/netns: limit number of network namespaces per container
match  97f894c5176a  a1a2e6b04aeb  ve/device_cgroup: fake allowing all devices for docker inside VZCT
match  835a9f6df78a  91281e482755  ptrace: prevent tracing "init" from inside a CT
ok     0d54fc84283c  e41814fd2cc8  ve/mm/trace: introduce vps_dumpable flag
match  932db565a06b  977c2874cab7  ve/kthreadd: emulate kthreadd by kworker thread, attached to CT
ok     095d9ef595ac  ddf9f7511389  ve/kthreadd: add per-ve kthreads creation interface
match  0dd41ea8de6d  076cd8bf0ad3  ve/kthreadd: create kthreadd in a containers pid ns
ok     0f11dc0846c6  b363b0f46a3f  ve/umh: make queue function one of the subprocess_info parameters
match  f1d4d7462303  a5e1871e8429  ve/umh: init work separately from other subprocess_info parameters
match  4efb70288794  2d70f1ede6a6  ve/umh: add per-container usermodehelper thread
ok     0854764adf55  195ce03c0f05  ve/umh: introduce per-container user mode helper macroses and functions
